date,etl:adj_close,etl:adj_open,etl:adj_high,etl:adj_low,price:成交筆數,price:成交金額,foreign_investors_shareholding:全體外資及陸資持股比率,institutional_investors_trading_summary:外陸資買賣超股數(不含外資自營商),institutional_investors_trading_summary:外資自營商買賣超股數,institutional_investors_trading_summary:自營商買賣超股數(自行買賣),institutional_investors_trading_summary:自營商買賣超股數(避險),RSI,SMA,MACD,CMO,ATR,BBANDS_upper,BBANDS_mid,BBANDS_lower
2025-01-03,122.12755102040815,122.64285714285714,122.64285714285714,122.12755102040815,36.0,1853113.0,1.78,-1000.0,0.0,-1000.0,0.0,48.9275476984664,48.9275476984664,48.9275476984664,48.9275476984664,48.9275476984664,120.78035085019764,118.5,116.21964914980236
2025-01-06,122.64285714285714,123.67346938775509,124.70408163265306,122.12755102040815,53.0,3047841.0,1.77,-10000.0,0.0,0.0,0.0,50.15139121330735,50.15139121330735,50.15139121330735,50.15139121330735,50.15139121330735,120.91516738055816,118.6,116.28483261944183
2025-01-07,121.0969387755102,123.15816326530611,125.21938775510203,121.0969387755102,76.0,5334058.0,1.77,3000.0,0.0,1000.0,0.0,46.54773255252685,46.54773255252685,46.54773255252685,46.54773255252685,46.54773255252685,120.42480768092925,118.8,117.17519231907075
2025-01-08,120.06632653061223,122.64285714285714,122.64285714285714,120.06632653061223,87.0,3538455.0,1.76,-7000.0,0.0,2000.0,0.0,44.26420250185066,44.26420250185066,44.26420250185066,44.26420250185066,44.26420250185066,120.03907194296706,118.1,116.16092805703293
2025-01-09,119.55102040816325,120.58163265306122,121.61224489795917,119.03571428571428,55.0,4163743.0,1.74,-12000.0,0.0,0.0,0.0,43.12502283008166,43.12502283008166,43.12502283008166,43.12502283008166,43.12502283008166,119.78035085019764,117.5,115.21964914980236
2025-01-10,119.55102040816325,123.15816326530611,123.15816326530611,118.5204081632653,69.0,5265181.0,1.72,-20000.0,0.0,0.0,0.0,43.12502283008167,43.12502283008167,43.12502283008167,43.12502283008167,43.12502283008167,119.28035085019764,117.0,114.71964914980236
2025-01-13,118.5204081632653,121.0969387755102,123.15816326530611,118.00510204081631,110.0,6926659.0,1.68,-23000.0,0.0,-1000.0,0.0,40.69568819459837,40.69568819459837,40.69568819459837,40.69568819459837,40.69568819459837,117.82480768092701,116.2,114.575192319073
2025-01-14,118.00510204081631,118.5204081632653,118.5204081632653,117.48979591836734,137.0,2859495.0,1.67,-7000.0,0.0,0.0,0.0,39.49761443100272,39.49761443100272,39.49761443100272,39.49761443100272,39.49761443100272,117.06969384567108,115.6,114.1303061543289
2025-01-15,119.03571428571428,120.06632653061223,120.58163265306122,118.00510204081631,64.0,4499059.0,1.67,-2000.0,0.0,0.0,0.0,43.1052451016795,43.1052451016795,43.1052451016795,43.1052451016795,43.1052451016795,116.5661903789662,115.4,114.23380962103381
2025-01-16,120.58163265306122,119.55102040816325,120.58163265306122,119.03571428571428,52.0,4052859.0,1.67,-1000.0,0.0,0.0,0.0,48.103974342884925,48.103974342884925,48.103974342884925,48.103974342884925,48.103974342884925,117.32046505341037,115.6,113.87953494658962
